"REF_DATE","GEO","DGUID","Field of study","Program type","Credential type","Institution type","Registration status","Status of student in Canada","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022/2023","University of Guelph, Ontario","","Area, ethnic, cultural, gender, and group studies [05.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Man","Number","223","units","0","v1611845838","129.39.1.1.1.1.2.2","12","","","","0"
"2022/2023","University of Guelph, Ontario","","Area, ethnic, cultural, gender, and group studies [05.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Woman","Number","223","units","0","v1611845839","129.39.1.1.1.1.2.3","39","","","","0"
"2022/2023","University of Guelph, Ontario","","Area, ethnic, cultural, gender, and group studies [05.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Gender unknown","Number","223","units","0","v1611845840","129.39.1.1.1.1.2.4","6","","","","0"
"2022/2023","University of Guelph, Ontario","","Area, ethnic, cultural, gender, and group studies [05.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Man","Number","223","units","0","v1611845842","129.39.1.1.1.1.3.2","0","","","","0"
"2022/2023","University of Guelph, Ontario","","Area, ethnic, cultural, gender, and group studies [05.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Woman","Number","223","units","0","v1611845843","129.39.1.1.1.1.3.3","9","","","","0"
"2022/2023","University of Guelph, Ontario","","Area, ethnic, cultural, gender, and group studies [05.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Gender unknown","Number","223","units","0","v1611845844","129.39.1.1.1.1.3.4","3","","","","0"
"2022/2023","University of Guelph, Ontario","","Communication, journalism and related programs [09.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Man","Number","223","units","0","v1611846910","129.43.1.1.1.1.2.2","120","","","","0"
"2022/2023","University of Guelph, Ontario","","Communication, journalism and related programs [09.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Woman","Number","223","units","0","v1611846911","129.43.1.1.1.1.2.3","240","","","","0"
"2022/2023","University of Guelph, Ontario","","Communication, journalism and related programs [09.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Gender unknown","Number","223","units","0","v1611846912","129.43.1.1.1.1.2.4","12","","","","0"
"2022/2023","University of Guelph, Ontario","","Communication, journalism and related programs [09.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Man","Number","223","units","0","v1611846914","129.43.1.1.1.1.3.2","0","","","","0"
"2022/2023","University of Guelph, Ontario","","Communication, journalism and related programs [09.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Woman","Number","223","units","0","v1611846915","129.43.1.1.1.1.3.3","6","","","","0"
"2022/2023","University of Guelph, Ontario","","Computer and information sciences and support services [11.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Man","Number","223","units","0","v1611848046","129.55.1.1.1.1.2.2","501","","","","0"
"2022/2023","University of Guelph, Ontario","","Computer and information sciences and support services [11.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Woman","Number","223","units","0","v1611848047","129.55.1.1.1.1.2.3","105","","","","0"
"2022/2023","University of Guelph, Ontario","","Computer and information sciences and support services [11.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Gender unknown","Number","223","units","0","v1611848048","129.55.1.1.1.1.2.4","15","","","","0"
"2022/2023","University of Guelph, Ontario","","Computer and information sciences and support services [11.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Man","Number","223","units","0","v1611848050","129.55.1.1.1.1.3.2","117","","","","0"
"2022/2023","University of Guelph, Ontario","","Computer and information sciences and support services [11.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Woman","Number","223","units","0","v1611848051","129.55.1.1.1.1.3.3","39","","","","0"
"2022/2023","University of Guelph, Ontario","","Computer and information sciences and support services [11.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Gender unknown","Number","223","units","0","v1611848052","129.55.1.1.1.1.3.4","9","","","","0"
"2022/2023","University of Guelph, Ontario","","Education [13.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Man","Number","223","units","0","v1611850106","129.73.1.1.1.1.2.2","24","","","","0"
"2022/2023","University of Guelph, Ontario","","Education [13.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Woman","Number","223","units","0","v1611850107","129.73.1.1.1.1.2.3","819","","","","0"
"2022/2023","University of Guelph, Ontario","","Education [13.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Gender unknown","Number","223","units","0","v1611850108","129.73.1.1.1.1.2.4","39","","","","0"
"2022/2023","University of Guelph, Ontario","","Education [13.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Woman","Number","223","units","0","v1611850110","129.73.1.1.1.1.3.3","6","","","","0"
"2022/2023","University of Guelph, Ontario","","Engineering [14.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Man","Number","223","units","0","v1611850618","129.89.1.1.1.1.2.2","1518","","","","0"
"2022/2023","University of Guelph, Ontario","","Engineering [14.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Woman","Number","223","units","0","v1611850619","129.89.1.1.1.1.2.3","528","","","","0"
"2022/2023","University of Guelph, Ontario","","Engineering [14.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Gender unknown","Number","223","units","0","v1611850620","129.89.1.1.1.1.2.4","33","","","","0"
"2022/2023","University of Guelph, Ontario","","Engineering [14.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Man","Number","223","units","0","v1611850622","129.89.1.1.1.1.3.2","327","","","","0"
"2022/2023","University of Guelph, Ontario","","Engineering [14.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Woman","Number","223","units","0","v1611850623","129.89.1.1.1.1.3.3","123","","","","0"
"2022/2023","University of Guelph, Ontario","","Engineering [14.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Gender unknown","Number","223","units","0","v1611850624","129.89.1.1.1.1.3.4","21","","","","0"
"2022/2023","University of Guelph, Ontario","","Family and consumer sciences/human sciences [19.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Man","Number","223","units","0","v1611854490","129.171.1.1.1.1.2.2","162","","","","0"
"2022/2023","University of Guelph, Ontario","","Family and consumer sciences/human sciences [19.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Woman","Number","223","units","0","v1611854491","129.171.1.1.1.1.2.3","1203","","","","0"
"2022/2023","University of Guelph, Ontario","","Family and consumer sciences/human sciences [19.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Gender unknown","Number","223","units","0","v1611854492","129.171.1.1.1.1.2.4","60","","","","0"
"2022/2023","University of Guelph, Ontario","","Family and consumer sciences/human sciences [19.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Man","Number","223","units","0","v1611854494","129.171.1.1.1.1.3.2","6","","","","0"
"2022/2023","University of Guelph, Ontario","","Family and consumer sciences/human sciences [19.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Woman","Number","223","units","0","v1611854495","129.171.1.1.1.1.3.3","36","","","","0"
"2022/2023","University of Guelph, Ontario","","Legal professions and studies [22.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Man","Number","223","units","0","v1611856522","129.183.1.1.1.1.2.2","39","","","","0"
"2022/2023","University of Guelph, Ontario","","Legal professions and studies [22.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Woman","Number","223","units","0","v1611856523","129.183.1.1.1.1.2.3","81","","","","0"
"2022/2023","University of Guelph, Ontario","","Legal professions and studies [22.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Gender unknown","Number","223","units","0","v1611856524","129.183.1.1.1.1.2.4","3","","","","0"
"2022/2023","University of Guelph, Ontario","","Legal professions and studies [22.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Man","Number","223","units","0","v1611856526","129.183.1.1.1.1.3.2","3","","","","0"
"2022/2023","University of Guelph, Ontario","","Legal professions and studies [22.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Woman","Number","223","units","0","v1611856527","129.183.1.1.1.1.3.3","3","","","","0"
"2022/2023","University of Guelph, Ontario","","English language and literature/letters [23.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Man","Number","223","units","0","v1611857034","129.189.1.1.1.1.2.2","63","","","","0"
"2022/2023","University of Guelph, Ontario","","English language and literature/letters [23.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Woman","Number","223","units","0","v1611857035","129.189.1.1.1.1.2.3","240","","","","0"
"2022/2023","University of Guelph, Ontario","","English language and literature/letters [23.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Gender unknown","Number","223","units","0","v1611857036","129.189.1.1.1.1.2.4","21","","","","0"
"2022/2023","University of Guelph, Ontario","","English language and literature/letters [23.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Man","Number","223","units","0","v1611857038","129.189.1.1.1.1.3.2","3","","","","0"
"2022/2023","University of Guelph, Ontario","","English language and literature/letters [23.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Woman","Number","223","units","0","v1611857039","129.189.1.1.1.1.3.3","3","","","","0"
"2022/2023","University of Guelph, Ontario","","English language and literature/letters [23.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Gender unknown","Number","223","units","0","v1611857040","129.189.1.1.1.1.3.4","0","","","","0"
"2022/2023","University of Guelph, Ontario","","Liberal arts and sciences, general studies and humanities [24.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Man","Number","223","units","0","v1611858554","129.194.1.1.1.1.2.2","249","","","","0"
"2022/2023","University of Guelph, Ontario","","Liberal arts and sciences, general studies and humanities [24.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Woman","Number","223","units","0","v1611858555","129.194.1.1.1.1.2.3","510","","","","0"
"2022/2023","University of Guelph, Ontario","","Liberal arts and sciences, general studies and humanities [24.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Gender unknown","Number","223","units","0","v1611858556","129.194.1.1.1.1.2.4","24","","","","0"
"2022/2023","University of Guelph, Ontario","","Liberal arts and sciences, general studies and humanities [24.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Man","Number","223","units","0","v1611858558","129.194.1.1.1.1.3.2","3","","","","0"
"2022/2023","University of Guelph, Ontario","","Liberal arts and sciences, general studies and humanities [24.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Woman","Number","223","units","0","v1611858559","129.194.1.1.1.1.3.3","6","","","","0"
"2022/2023","University of Guelph, Ontario","","Liberal arts and sciences, general studies and humanities [24.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Gender unknown","Number","223","units","0","v1611858560","129.194.1.1.1.1.3.4","3","","","","0"
"2022/2023","University of Guelph, Ontario","","Biological and biomedical sciences [26.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Man","Number","223","units","0","v1611859742","129.200.1.1.1.1.2.2","1308","","","","0"
"2022/2023","University of Guelph, Ontario","","Biological and biomedical sciences [26.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Woman","Number","223","units","0","v1611859743","129.200.1.1.1.1.2.3","4020","","","","0"
"2022/2023","University of Guelph, Ontario","","Biological and biomedical sciences [26.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Gender unknown","Number","223","units","0","v1611859744","129.200.1.1.1.1.2.4","114","","","","0"
"2022/2023","University of Guelph, Ontario","","Biological and biomedical sciences [26.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Man","Number","223","units","0","v1611859746","129.200.1.1.1.1.3.2","102","","","","0"
"2022/2023","University of Guelph, Ontario","","Biological and biomedical sciences [26.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Woman","Number","223","units","0","v1611859747","129.200.1.1.1.1.3.3","216","","","","0"
"2022/2023","University of Guelph, Ontario","","Biological and biomedical sciences [26.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Gender unknown","Number","223","units","0","v1611859748","129.200.1.1.1.1.3.4","24","","","","0"
"2022/2023","University of Guelph, Ontario","","Mathematics and statistics [27.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Man","Number","223","units","0","v1611865762","129.216.1.1.1.1.2.2","78","","","","0"
"2022/2023","University of Guelph, Ontario","","Mathematics and statistics [27.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Woman","Number","223","units","0","v1611865763","129.216.1.1.1.1.2.3","48","","","","0"
"2022/2023","University of Guelph, Ontario","","Mathematics and statistics [27.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Gender unknown","Number","223","units","0","v1611865764","129.216.1.1.1.1.2.4","9","","","","0"
"2022/2023","University of Guelph, Ontario","","Mathematics and statistics [27.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Man","Number","223","units","0","v1611865766","129.216.1.1.1.1.3.2","9","","","","0"
"2022/2023","University of Guelph, Ontario","","Mathematics and statistics [27.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Woman","Number","223","units","0","v1611865767","129.216.1.1.1.1.3.3","3","","","","0"
"2022/2023","University of Guelph, Ontario","","Multidisciplinary/interdisciplinary studies [30.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Man","Number","223","units","0","v1611868116","129.226.1.1.1.1.2.2","132","","","","0"
"2022/2023","University of Guelph, Ontario","","Multidisciplinary/interdisciplinary studies [30.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Woman","Number","223","units","0","v1611868117","129.226.1.1.1.1.2.3","288","","","","0"
"2022/2023","University of Guelph, Ontario","","Multidisciplinary/interdisciplinary studies [30.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Gender unknown","Number","223","units","0","v1611868118","129.226.1.1.1.1.2.4","30","","","","0"
"2022/2023","University of Guelph, Ontario","","Multidisciplinary/interdisciplinary studies [30.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Man","Number","223","units","0","v1611868120","129.226.1.1.1.1.3.2","12","","","","0"
"2022/2023","University of Guelph, Ontario","","Multidisciplinary/interdisciplinary studies [30.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Woman","Number","223","units","0","v1611868121","129.226.1.1.1.1.3.3","21","","","","0"
"2022/2023","University of Guelph, Ontario","","Multidisciplinary/interdisciplinary studies [30.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Gender unknown","Number","223","units","0","v1611868122","129.226.1.1.1.1.3.4","33","","","","0"
"2022/2023","University of Guelph, Ontario","","Parks, recreation, leisure, fitness, and kinesiology [31.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Man","Number","223","units","0","v1611872340","129.278.1.1.1.1.2.2","417","","","","0"
"2022/2023","University of Guelph, Ontario","","Parks, recreation, leisure, fitness, and kinesiology [31.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Woman","Number","223","units","0","v1611872341","129.278.1.1.1.1.2.3","705","","","","0"
"2022/2023","University of Guelph, Ontario","","Parks, recreation, leisure, fitness, and kinesiology [31.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Gender unknown","Number","223","units","0","v1611872342","129.278.1.1.1.1.2.4","21","","","","0"
"2022/2023","University of Guelph, Ontario","","Parks, recreation, leisure, fitness, and kinesiology [31.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Man","Number","223","units","0","v1611872344","129.278.1.1.1.1.3.2","6","","","","0"
"2022/2023","University of Guelph, Ontario","","Parks, recreation, leisure, fitness, and kinesiology [31.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Woman","Number","223","units","0","v1611872345","129.278.1.1.1.1.3.3","6","","","","0"
"2022/2023","University of Guelph, Ontario","","Philosophy and religious studies [38.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Man","Number","223","units","0","v1611873012","129.300.1.1.1.1.2.2","54","","","","0"
"2022/2023","University of Guelph, Ontario","","Philosophy and religious studies [38.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Woman","Number","223","units","0","v1611873013","129.300.1.1.1.1.2.3","45","","","","0"
"2022/2023","University of Guelph, Ontario","","Philosophy and religious studies [38.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Gender unknown","Number","223","units","0","v1611873014","129.300.1.1.1.1.2.4","3","","","","0"
"2022/2023","University of Guelph, Ontario","","Philosophy and religious studies [38.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Man","Number","223","units","0","v1611873016","129.300.1.1.1.1.3.2","3","","","","0"
"2022/2023","University of Guelph, Ontario","","Philosophy and religious studies [38.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Woman","Number","223","units","0","v1611873017","129.300.1.1.1.1.3.3","3","","","","0"
"2022/2023","University of Guelph, Ontario","","Physical sciences [40.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Man","Number","223","units","0","v1611874236","129.314.1.1.1.1.2.2","180","","","","0"
"2022/2023","University of Guelph, Ontario","","Physical sciences [40.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Woman","Number","223","units","0","v1611874237","129.314.1.1.1.1.2.3","99","","","","0"
"2022/2023","University of Guelph, Ontario","","Physical sciences [40.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Gender unknown","Number","223","units","0","v1611874238","129.314.1.1.1.1.2.4","9","","","","0"
"2022/2023","University of Guelph, Ontario","","Physical sciences [40.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Man","Number","223","units","0","v1611874240","129.314.1.1.1.1.3.2","12","","","","0"
"2022/2023","University of Guelph, Ontario","","Physical sciences [40.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Woman","Number","223","units","0","v1611874241","129.314.1.1.1.1.3.3","6","","","","0"
"2022/2023","University of Guelph, Ontario","","Physical sciences [40.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Gender unknown","Number","223","units","0","v1611874242","129.314.1.1.1.1.3.4","0","","","","0"
"2022/2023","University of Guelph, Ontario","","Psychology [42.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Man","Number","223","units","0","v1611877210","129.330.1.1.1.1.2.2","297","","","","0"
"2022/2023","University of Guelph, Ontario","","Psychology [42.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Woman","Number","223","units","0","v1611877211","129.330.1.1.1.1.2.3","1713","","","","0"
"2022/2023","University of Guelph, Ontario","","Psychology [42.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Gender unknown","Number","223","units","0","v1611877212","129.330.1.1.1.1.2.4","60","","","","0"
"2022/2023","University of Guelph, Ontario","","Psychology [42.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Man","Number","223","units","0","v1611877214","129.330.1.1.1.1.3.2","18","","","","0"
"2022/2023","University of Guelph, Ontario","","Psychology [42.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Woman","Number","223","units","0","v1611877215","129.330.1.1.1.1.3.3","78","","","","0"
"2022/2023","University of Guelph, Ontario","","Psychology [42.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Gender unknown","Number","223","units","0","v1611877216","129.330.1.1.1.1.3.4","6","","","","0"
"2022/2023","University of Guelph, Ontario","","Security and protective services [43.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Man","Number","223","units","0","v1611878802","129.335.1.1.1.1.2.2","783","","","","0"
"2022/2023","University of Guelph, Ontario","","Security and protective services [43.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Woman","Number","223","units","0","v1611878803","129.335.1.1.1.1.2.3","1287","","","","0"
"2022/2023","University of Guelph, Ontario","","Security and protective services [43.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Gender unknown","Number","223","units","0","v1611878804","129.335.1.1.1.1.2.4","39","","","","0"
"2022/2023","University of Guelph, Ontario","","Security and protective services [43.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Man","Number","223","units","0","v1611878806","129.335.1.1.1.1.3.2","6","","","","0"
"2022/2023","University of Guelph, Ontario","","Security and protective services [43.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Woman","Number","223","units","0","v1611878807","129.335.1.1.1.1.3.3","18","","","","0"
"2022/2023","University of Guelph, Ontario","","Security and protective services [43.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Gender unknown","Number","223","units","0","v1611878808","129.335.1.1.1.1.3.4","3","","","","0"
"2022/2023","University of Guelph, Ontario","","Public administration and social service professions [44.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Man","Number","223","units","0","v1611879746","129.341.1.1.1.1.2.2","36","","","","0"
"2022/2023","University of Guelph, Ontario","","Public administration and social service professions [44.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Woman","Number","223","units","0","v1611879747","129.341.1.1.1.1.2.3","33","","","","0"
"2022/2023","University of Guelph, Ontario","","Public administration and social service professions [44.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Gender unknown","Number","223","units","0","v1611879748","129.341.1.1.1.1.2.4","0","","","","0"
"2022/2023","University of Guelph, Ontario","","Public administration and social service professions [44.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Woman","Number","223","units","0","v1611879751","129.341.1.1.1.1.3.3","3","","","","0"
"2022/2023","University of Guelph, Ontario","","Public administration and social service professions [44.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","International students","Gender unknown","Number","223","units","0","v1611879752","129.341.1.1.1.1.3.4","0","","","","0"
"2022/2023","University of Guelph, Ontario","","Social sciences [45.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Man","Number","223","units","0","v1611880638","129.348.1.1.1.1.2.2","567","","","","0"
"2022/2023","University of Guelph, Ontario","","Social sciences [45.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Woman","Number","223","units","0","v1611880639","129.348.1.1.1.1.2.3","942","","","","0"
"2022/2023","University of Guelph, Ontario","","Social sciences [45.]","Total, program type","Total, credential type","Total, institution type" ,"Total, registration status","Canadian students","Gender unknown","Number","223","units","0","v1611880640","129.348.1.1.1.1.2.4","57","","","","0"
